pick_key,game_date,player_name,prop_type,participant_join_key,participant_id,participant_source_id,participant_source_id_type,participant_name_norm,sport,market_key,market_family,team,opponent,book,bookmaker_key,event_id,odds,price,pick_side,line,market_selection_key,market_offer_key,predicted_value,predicted_strikeouts,edge,confidence_tier,pick_type,result,actual_value,actual_strikeouts,record_source,model_version,policy_version,tracking_regime,result_normalized,odds_numeric,units_risked,units_result
2026-05-05|shohei ohtani,2026-05-05,Shohei Ohtani,,,,,,,,,,LAD,HOU,DraftKings,,,-152,-152,under,7.5,,,5.5092058181762695,5.5092058181762695,1.9907941818237305,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow,L,-152.0,1.0,-1.0
2026-05-06|sonny gray,2026-05-06,Sonny Gray,,,,,,,,,,BOS,DET,DraftKings,,,108,108,over,4.5,,,6.3377814292907715,6.3377814292907715,1.8377814292907715,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow,L,108.0,1.0,-1.0
2026-05-06|bryan woo,2026-05-06,Bryan Woo,,,,,,,,,,SEA,ATL,BetMGM,,,-160,-160,over,4.5,,,6.964148044586182,6.964148044586182,2.4641480445861816,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow,W,-160.0,1.0,0.625
2026-05-06|adrian houser,2026-05-06,Adrian Houser,,,,,,,,,,SF,SD,FanDuel,,,120,120,over,3.5,,,4.868718147277832,4.868718147277832,1.368718147277832,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,legacy_workflow,L,120.0,1.0,-1.0
2026-05-07|simeon woods richardson,2026-05-07,Simeon Woods Richardson,,,,,,,,,,MIN,WSH,FanDuel,,,-118,-118,over,3.5,,,5.686676502227783,5.686676502227783,2.186676502227783,high,official,L,,,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,L,-118.0,1.0,-1.0
2026-05-07|zac gallen,2026-05-07,Zac Gallen,,,,,,,,,,AZ,PIT,DraftKings,,,-119,-119,over,4.5,,,6.00658655166626,6.00658655166626,1.5065865516662598,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,W,-119.0,1.0,0.8403361344537815
2026-05-07|jt ginn,2026-05-07,JT Ginn,,,,,,,,,,ATH,PHI,FanDuel,,,110,110,over,4.5,,,5.752137184143066,5.752137184143066,1.2521371841430664,high,official,W,,,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,W,110.0,1.0,1.1
2026-05-08|MLB|pitcher_strikeouts|name:chris sale|under|7.5|draftkings,2026-05-08,chris sale,,mlbam_player:519242,mlbam_player:519242,519242,mlbam_player,chris sale,MLB,pitcher_strikeouts,player_prop,ATL,LAD,DraftKings,draftkings,9faf187505c47b0f5009cb7d7da5200c,-148,-148,under,7.5,MLB|pitcher_strikeouts|name:chris sale|under|7.5,MLB|pitcher_strikeouts|name:chris sale|under|7.5|draftkings,5.426553726196289,5.426553726196289,2.073446273803711,high,official,W,7,7,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,W,-148.0,1.0,0.6756756756756757
2026-05-08|MLB|pitcher_strikeouts|name:jacob misiorowski|under|7.5|fanduel,2026-05-08,jacob misiorowski,,mlbam_player:694819,mlbam_player:694819,694819,mlbam_player,jacob misiorowski,MLB,pitcher_strikeouts,player_prop,MIL,NYY,FanDuel,fanduel,3d859a4947ba1d62e82366cdebc59d78,104,104,under,7.5,MLB|pitcher_strikeouts|name:jacob misiorowski|under|7.5,MLB|pitcher_strikeouts|name:jacob misiorowski|under|7.5|fanduel,5.974920749664307,5.974920749664307,1.5250792503356934,high,official,L,11,11,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,L,104.0,1.0,-1.0
2026-05-08|MLB|pitcher_strikeouts|name:reid detmers|under|5.5|betmgm,2026-05-08,reid detmers,,mlbam_player:672282,mlbam_player:672282,672282,mlbam_player,reid detmers,MLB,pitcher_strikeouts,player_prop,LAA,TOR,BetMGM,betmgm,92c3e303601373eee3d37fbb858409af,-105,-105,under,5.5,MLB|pitcher_strikeouts|name:reid detmers|under|5.5,MLB|pitcher_strikeouts|name:reid detmers|under|5.5|betmgm,4.099864959716797,4.099864959716797,1.4001350402832031,high,official,W,3,3,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,W,-105.0,1.0,0.9523809523809523
2026-05-09|MLB|pitcher_strikeouts|name:blake snell|over|4.5|fanduel,2026-05-09,blake snell,,mlbam_player:605483,mlbam_player:605483,605483,mlbam_player,blake snell,MLB,pitcher_strikeouts,player_prop,LAD,ATL,FanDuel,fanduel,4e0f5d6412cdfd2b0ade4fee11642753,-148,-148,over,4.5,MLB|pitcher_strikeouts|name:blake snell|over|4.5,MLB|pitcher_strikeouts|name:blake snell|over|4.5|fanduel,6.851329803466797,6.851329803466797,2.351329803466797,high,official,W,5,5,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,W,-148.0,1.0,0.6756756756756757
2026-05-09|MLB|pitcher_strikeouts|name:landen roupp|under|5.5|betmgm,2026-05-09,landen roupp,,mlbam_player:694738,mlbam_player:694738,694738,mlbam_player,landen roupp,MLB,pitcher_strikeouts,player_prop,SF,PIT,BetMGM,betmgm,54ac0c67d3a1921cfede4e125572526e,115,115,under,5.5,MLB|pitcher_strikeouts|name:landen roupp|under|5.5,MLB|pitcher_strikeouts|name:landen roupp|under|5.5|betmgm,4.253480434417725,4.253480434417725,1.2465195655822754,high,official,L,8,8,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,L,115.0,1.0,-1.0
2026-05-09|MLB|pitcher_strikeouts|name:tanner bibee|over|4.5|draftkings,2026-05-09,tanner bibee,,mlbam_player:676440,mlbam_player:676440,676440,mlbam_player,tanner bibee,MLB,pitcher_strikeouts,player_prop,CLE,MIN,DraftKings,draftkings,9fd60ef171dd7d6b753c07fe32aa37f6,-156,-156,over,4.5,MLB|pitcher_strikeouts|name:tanner bibee|over|4.5,MLB|pitcher_strikeouts|name:tanner bibee|over|4.5|draftkings,5.9974751472473145,5.9974751472473145,1.4974751472473145,high,official,W,9,9,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,W,-156.0,1.0,0.6410256410256411
2026-05-10|MLB|pitcher_strikeouts|name:sandy alcantara|over|4.5|fanduel,2026-05-10,sandy alcantara,pitcher_k,mlbam_player:645261,mlbam_player:645261,645261,mlbam_player,sandy alcantara,MLB,pitcher_strikeouts,player_prop,MIA,WSH,FanDuel,fanduel,2f41717fcce350329e8ac46662be3d88,-136,-136,over,4.5,MLB|pitcher_strikeouts|name:sandy alcantara|over|4.5,MLB|pitcher_strikeouts|name:sandy alcantara|over|4.5|fanduel,6.885934829711914,6.885934829711914,2.385934829711914,high,official,L,3,3,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,L,-136.0,1.0,-1.0
2026-05-10|MLB|pitcher_strikeouts|name:luis severino|over|4.5|draftkings,2026-05-10,luis severino,pitcher_k,mlbam_player:622663,mlbam_player:622663,622663,mlbam_player,luis severino,MLB,pitcher_strikeouts,player_prop,ATH,BAL,DraftKings,draftkings,42a6a833eaecf112c826202eb1d596f9,-148,-148,over,4.5,MLB|pitcher_strikeouts|name:luis severino|over|4.5,MLB|pitcher_strikeouts|name:luis severino|over|4.5|draftkings,5.7812018394470215,5.7812018394470215,1.2812018394470215,high,official,L,4,4,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,L,-148.0,1.0,-1.0
2026-05-10|MLB|pitcher_strikeouts|name:cristopher sanchez|under|7.5|draftkings,2026-05-10,cristopher sanchez,pitcher_k,mlbam_player:650911,mlbam_player:650911,650911,mlbam_player,cristopher sanchez,MLB,pitcher_strikeouts,player_prop,PHI,COL,DraftKings,draftkings,6dd9cd4491079d3cedf1f7d3ff85b358,-129,-129,under,7.5,MLB|pitcher_strikeouts|name:cristopher sanchez|under|7.5,MLB|pitcher_strikeouts|name:cristopher sanchez|under|7.5|draftkings,6.327741622924805,6.327741622924805,1.1722583770751953,high,official,W,7,7,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,W,-129.0,1.0,0.7751937984496124
2026-05-11|MLB|pitcher_strikeouts|name:peter lambert|under|4.5|draftkings,2026-05-11,peter lambert,pitcher_k,mlbam_player:663567,mlbam_player:663567,663567,mlbam_player,peter lambert,MLB,pitcher_strikeouts,player_prop,HOU,SEA,DraftKings,draftkings,80622319ceec1faf47baaee869656e13,115,115,under,4.5,MLB|pitcher_strikeouts|name:peter lambert|under|4.5,MLB|pitcher_strikeouts|name:peter lambert|under|4.5|draftkings,2.902604103088379,2.902604103088379,1.597395896911621,high,official,L,6,6,run_daily_card,workflow_unversioned,workflow_unversioned,current_workflow,L,115.0,1.0,-1.0
